2020-05-23 09:20:04.641839
[935.0, 890.0, 935.2, 890.2, 935.4, 890.4, 935.6, 890.6, 935.8, 890.8, 936.0, 891.0, 936.2, 891.2, 936.4, 891.4, 936.6, 891.6, 936.8, 891.8, 937.0, 892.0, 937.2, 892.2, 937.4, 892.4, 937.6, 892.6, 937.8, 892.8, 938.0, 893.0, 938.2, 893.2, 938.4, 893.4, 938.6, 893.6, 938.8, 893.8, 939.0, 894.0, 939.2, 894.2, 939.4, 894.4, 939.6, 894.6, 939.8, 894.8, 940.0, 895.0, 940.2, 895.2, 940.4, 895.4, 940.6, 895.6, 940.8, 895.8, 941.0, 896.0, 941.2, 896.2, 941.4, 896.4, 941.6, 896.6, 941.8, 896.8, 942.0, 897.0, 942.2, 897.2, 942.4, 897.4, 942.6, 897.6, 942.8, 897.8, 943.0, 898.0, 943.2, 898.2, 943.4, 898.4, 943.6, 898.6, 943.8, 898.8, 944.0, 899.0, 944.2, 899.2, 944.4, 899.4, 944.6, 899.6, 944.8, 899.8, 945.0, 900.0, 945.2, 900.2, 945.4, 900.4, 945.6, 900.6, 945.8, 900.8, 946.0, 901.0, 946.2, 901.2, 946.4, 901.4, 946.6, 901.6, 946.8, 901.8, 947.0, 902.0, 947.2, 902.2, 947.4, 902.4, 947.6, 902.6, 947.8, 902.8, 948.0, 903.0, 948.2, 903.2, 948.4, 903.4, 948.6, 903.6, 948.8, 903.8, 949.0, 904.0, 949.2, 904.2, 949.4, 904.4, 949.6, 904.6, 949.8, 904.8, 950.0, 905.0, 950.2, 905.2, 950.4, 905.4, 950.6, 905.6, 950.8, 905.8, 951.0, 906.0, 951.2, 906.2, 951.4, 906.4, 951.6, 906.6, 951.8, 906.8, 952.0, 907.0, 952.2, 907.2, 952.4, 907.4, 952.6, 907.6, 952.8, 907.8, 953.0, 908.0, 953.2, 908.2, 953.4, 908.4, 953.6, 908.6, 953.8, 908.8, 954.0, 909.0, 954.2, 909.2, 954.4, 909.4, 954.6, 909.6, 954.8, 909.8, 955.0, 910.0, 955.2, 910.2, 955.4, 910.4, 955.6, 910.6, 955.8, 910.8, 956.0, 911.0, 956.2, 911.2, 956.4, 911.4, 956.6, 911.6, 956.8, 911.8, 957.0, 912.0, 957.2, 912.2, 957.4, 912.4, 957.6, 912.6, 957.8, 912.8, 958.0, 913.0, 958.2, 913.2, 958.4, 913.4, 958.6, 913.6, 958.8, 913.8, 959.0, 914.0, 959.2, 914.2, 959.4, 914.4, 959.6, 914.6, 959.8, 914.8, 925.2, 880.2, 925.4, 880.4, 925.6, 880.6, 925.8, 880.8, 926.0, 881.0, 926.2, 881.2, 926.4, 881.4, 926.6, 881.6, 926.8, 881.8, 927.0, 882.0, 927.2, 882.2, 927.4, 882.4, 927.6, 882.6, 927.8, 882.8, 928.0, 883.0, 928.2, 883.2, 928.4, 883.4, 928.6, 883.6, 928.8, 883.8, 929.0, 884.0, 929.2, 884.2, 929.4, 884.4, 929.6, 884.6, 929.8, 884.8, 930.0, 885.0, 930.2, 885.2, 930.4, 885.4, 930.6, 885.6, 930.8, 885.8, 931.0, 886.0, 931.2, 886.2, 931.4, 886.4, 931.6, 886.6, 931.8, 886.8, 932.0, 887.0, 932.2, 887.2, 932.4, 887.4, 932.6, 887.6, 932.8, 887.8, 933.0, 888.0, 933.2, 888.2, 933.4, 888.4, 933.6, 888.6, 933.8, 888.8, 934.0, 889.0, 934.2, 889.2, 934.4, 889.4, 934.6, 889.6, 934.8, 889.8]
[-115, -114, -110, -113, -98, -112, -87, -112, -93, -112, -103, -112, -104, -112, -81, -110, -94, -113, -100, -113, -89, -111, -104, -108, -107, -109, -99, -111, -90, -111, -92, -111, -67, -112, -91, -112, -97, -113, -101, -113, -108, -113, -101, -114, -110, -111, -96, -112, -70, -111, -97, -112, -101, -109, -76, -112, -106, -116, -114, -112, -108, -106, -115, -112, -116, -114, -115, -112, -118, -112, -107, -108, -112, -113, -115, -110, -116, -112, -114, -112, -115, -113, -116, -114, -115, -114, -112, -114, -107, -112, -116, -114, -112, -110, -114, -114, -90, -112, -113, -112, -114, -112, -112, -113, -106, -113, -106, -114, -112, -112, -111, -112, -108, -114, -114, -112, -112, -112, -108, -112, -109, -116, -110, -114, -110, -113, -108, -112, -110, -113, -111, -112, -113, -114, -112, -111, -113, -112, -114, -113, -114, -114, -105, -114, -111, -113, -114, -112, -115, -112, -113, -112, -115, -110, -114, -113, -104, -115, -115, -113, -117, -114, -112, -115, -114, -112, -115, -114, -115, -113, -111, -111, -105, -113, -114, -115, -115, -111, -113, -112, -81, -114, -109, -112, -108, -112, -114, -113, -113, -112, -114, -113, -104, -112, -112, -112, -116, -112, -103, -114, -116, -113, -106, -110, -117, -112, -117, -112, -114, -110, -114, -110, -110, -108, -94, -110, -106, -112, -79, -110, -95, -107, -94, -111, -100, -111, -94, -110, -78, -110, -95, -110, -100, -111, -108, -109, -92, -109, -100, -110, -92, -111, -84, -110, -98, -113, -92, -111, -97, -110, -84, -111, -89, -113, -88, -109, -74, -113, -73, -112, -75, -114, -74, -112, -76, -112, -76, -112, -75, -110, -75, -112, -74, -110, -72, -111, -73, -109, -73, -112, -73, -111, -73, -112, -73, -112, -73, -112, -74, -112, -84, -111, -72, -113, -74, -111, -99, -112, -112, -113, -112, -112, -113, -110, -113, -112, -113, -112, -114, -116, -114, -113, -111, -109, -113, -111, -112, -110, -114, -111, -116, -112, -112, -112, -111, -112, -112, -111, -112, -108, -114, -112, -110, -112, -114, -112, -116, -111, -114, -112, -114, -113, -112, -112, -116, -114, -112, -112]


2020-05-23 09:20:05.489667
[935.0, 890.0, 935.2, 890.2, 935.4, 890.4, 935.6, 890.6, 935.8, 890.8, 936.0, 891.0, 936.2, 891.2, 936.4, 891.4, 936.6, 891.6, 936.8, 891.8, 937.0, 892.0, 937.2, 892.2, 937.4, 892.4, 937.6, 892.6, 937.8, 892.8, 938.0, 893.0, 938.2, 893.2, 938.4, 893.4, 938.6, 893.6, 938.8, 893.8, 939.0, 894.0, 939.2, 894.2, 939.4, 894.4, 939.6, 894.6, 939.8, 894.8, 940.0, 895.0, 940.2, 895.2, 940.4, 895.4, 940.6, 895.6, 940.8, 895.8, 941.0, 896.0, 941.2, 896.2, 941.4, 896.4, 941.6, 896.6, 941.8, 896.8, 942.0, 897.0, 942.2, 897.2, 942.4, 897.4, 942.6, 897.6, 942.8, 897.8, 943.0, 898.0, 943.2, 898.2, 943.4, 898.4, 943.6, 898.6, 943.8, 898.8, 944.0, 899.0, 944.2, 899.2, 944.4, 899.4, 944.6, 899.6, 944.8, 899.8, 945.0, 900.0, 945.2, 900.2, 945.4, 900.4, 945.6, 900.6, 945.8, 900.8, 946.0, 901.0, 946.2, 901.2, 946.4, 901.4, 946.6, 901.6, 946.8, 901.8, 947.0, 902.0, 947.2, 902.2, 947.4, 902.4, 947.6, 902.6, 947.8, 902.8, 948.0, 903.0, 948.2, 903.2, 948.4, 903.4, 948.6, 903.6, 948.8, 903.8, 949.0, 904.0, 949.2, 904.2, 949.4, 904.4, 949.6, 904.6, 949.8, 904.8, 950.0, 905.0, 950.2, 905.2, 950.4, 905.4, 950.6, 905.6, 950.8, 905.8, 951.0, 906.0, 951.2, 906.2, 951.4, 906.4, 951.6, 906.6, 951.8, 906.8, 952.0, 907.0, 952.2, 907.2, 952.4, 907.4, 952.6, 907.6, 952.8, 907.8, 953.0, 908.0, 953.2, 908.2, 953.4, 908.4, 953.6, 908.6, 953.8, 908.8, 954.0, 909.0, 954.2, 909.2, 954.4, 909.4, 954.6, 909.6, 954.8, 909.8, 955.0, 910.0, 955.2, 910.2, 955.4, 910.4, 955.6, 910.6, 955.8, 910.8, 956.0, 911.0, 956.2, 911.2, 956.4, 911.4, 956.6, 911.6, 956.8, 911.8, 957.0, 912.0, 957.2, 912.2, 957.4, 912.4, 957.6, 912.6, 957.8, 912.8, 958.0, 913.0, 958.2, 913.2, 958.4, 913.4, 958.6, 913.6, 958.8, 913.8, 959.0, 914.0, 959.2, 914.2, 959.4, 914.4, 959.6, 914.6, 959.8, 914.8, 925.2, 880.2, 925.4, 880.4, 925.6, 880.6, 925.8, 880.8, 926.0, 881.0, 926.2, 881.2, 926.4, 881.4, 926.6, 881.6, 926.8, 881.8, 927.0, 882.0, 927.2, 882.2, 927.4, 882.4, 927.6, 882.6, 927.8, 882.8, 928.0, 883.0, 928.2, 883.2, 928.4, 883.4, 928.6, 883.6, 928.8, 883.8, 929.0, 884.0, 929.2, 884.2, 929.4, 884.4, 929.6, 884.6, 929.8, 884.8, 930.0, 885.0, 930.2, 885.2, 930.4, 885.4, 930.6, 885.6, 930.8, 885.8, 931.0, 886.0, 931.2, 886.2, 931.4, 886.4, 931.6, 886.6, 931.8, 886.8, 932.0, 887.0, 932.2, 887.2, 932.4, 887.4, 932.6, 887.6, 932.8, 887.8, 933.0, 888.0, 933.2, 888.2, 933.4, 888.4, 933.6, 888.6, 933.8, 888.8, 934.0, 889.0, 934.2, 889.2, 934.4, 889.4, 934.6, 889.6, 934.8, 889.8]
[-113, -113, -110, -112, -98, -114, -86, -111, -93, -110, -104, -112, -104, -113, -80, -111, -95, -111, -100, -111, -87, -115, -104, -110, -106, -113, -100, -114, -91, -112, -92, -112, -67, -112, -92, -109, -99, -112, -100, -112, -106, -113, -100, -113, -108, -113, -97, -112, -70, -111, -96, -113, -102, -113, -75, -112, -106, -112, -116, -115, -114, -105, -116, -112, -113, -113, -71, -110, -112, -113, -115, -110, -114, -110, -111, -112, -117, -113, -115, -113, -112, -112, -116, -113, -114, -114, -110, -110, -112, -113, -110, -112, -115, -111, -113, -113, -112, -110, -115, -112, -115, -111, -115, -112, -113, -112, -112, -113, -113, -112, -107, -112, -109, -112, -114, -114, -97, -114, -110, -111, -106, -112, -108, -112, -108, -112, -110, -111, -110, -112, -109, -113, -110, -112, -110, -112, -110, -112, -111, -112, -114, -115, -112, -112, -112, -111, -112, -113, -114, -112, -115, -114, -114, -110, -115, -113, -114, -114, -115, -112, -114, -112, -115, -112, -115, -114, -115, -114, -114, -112, -92, -113, -113, -113, -112, -106, -116, -115, -115, -113, -112, -114, -116, -113, -114, -115, -115, -112, -115, -113, -114, -114, -110, -112, -105, -113, -117, -113, -115, -115, -113, -113, -115, -112, -116, -112, -116, -112, -111, -112, -115, -107, -114, -107, -93, -110, -104, -113, -82, -111, -95, -109, -94, -109, -99, -112, -94, -109, -78, -113, -96, -114, -96, -110, -106, -110, -91, -106, -100, -112, -92, -112, -83, -111, -94, -111, -94, -112, -98, -109, -82, -112, -89, -112, -88, -109, -76, -113, -75, -113, -73, -114, -74, -108, -76, -111, -76, -112, -74, -112, -74, -112, -73, -112, -76, -112, -73, -114, -73, -112, -74, -114, -73, -111, -73, -112, -74, -112, -74, -113, -85, -110, -71, -112, -75, -111, -99, -112, -114, -112, -113, -112, -113, -112, -112, -109, -113, -112, -116, -115, -115, -112, -116, -112, -110, -112, -111, -113, -111, -112, -114, -112, -115, -114, -116, -112, -113, -114, -111, -107, -113, -113, -112, -115, -115, -112, -112, -112, -116, -112, -113, -112, -114, -112, -114, -111, -115, -112]


2020-05-23 09:20:06.223600
